forum_id,course_id,course_code,topic,created_by,created_date,posts_count,views,status
COMP101_Semester_1_2024_F1,COMP101_Semester_1_2024,COMP101,Technical Issues,Student,2024-05-15,25,197,Closed
COMP101_Semester_1_2024_F2,COMP101_Semester_1_2024,COMP101,General Questions,Instructor,2024-03-24,27,428,Closed
COMP101_Semester_1_2024_F3,COMP101_Semester_1_2024,COMP101,Week 1 Discussion,Instructor,2024-03-06,39,129,Open
COMP101_Semester_1_2024_F4,COMP101_Semester_1_2024,COMP101,Exam Preparation,Student,2024-05-07,44,259,Closed
COMP101_Semester_1_2024_F5,COMP101_Semester_1_2024,COMP101,Project Collaboration,Student,2024-04-08,7,27,Pinned
COMP101_Semester_1_2024_F6,COMP101_Semester_1_2024,COMP101,Course Feedback,Student,2024-04-20,13,309,Closed
COMP101_Semester_1_2024_F7,COMP101_Semester_1_2024,COMP101,Assignment Help,Instructor,2024-04-18,34,105,Pinned
COMP101_Semester_1_2024_F8,COMP101_Semester_1_2024,COMP101,Week 1 Discussion,Instructor,2024-02-29,14,353,Closed
COMP101_Semester_1_2024_F9,COMP101_Semester_1_2024,COMP101,Week 1 Discussion,Instructor,2024-06-01,22,387,Pinned
COMP101_Semester_2_2024_F1,COMP101_Semester_2_2024,COMP101,Technical Issues,Instructor,2024-10-08,32,111,Pinned
COMP101_Semester_2_2024_F2,COMP101_Semester_2_2024,COMP101,General Questions,Instructor,2024-10-08,14,50,Pinned
COMP101_Semester_2_2024_F3,COMP101_Semester_2_2024,COMP101,Week 1 Discussion,Student,2024-09-07,26,212,Closed
COMP101_Semester_2_2024_F4,COMP101_Semester_2_2024,COMP101,Exam Preparation,Student,2024-09-28,7,441,Pinned
COMP101_Semester_2_2024_F5,COMP101_Semester_2_2024,COMP101,Project Collaboration,Student,2024-08-15,33,414,Pinned
COMP101_Semester_2_2024_F6,COMP101_Semester_2_2024,COMP101,Technical Issues,Student,2024-07-26,34,291,Pinned
COMP101_Summer_2024/25_F1,COMP101_Summer_2024/25,COMP101,Resource Sharing,Student,2025-02-09,40,385,Closed
COMP101_Summer_2024/25_F2,COMP101_Summer_2024/25,COMP101,Technical Issues,Student,2025-01-14,6,60,Closed
COMP101_Summer_2024/25_F3,COMP101_Summer_2024/25,COMP101,Assignment Help,Student,2024-12-15,39,441,Closed
COMP101_Summer_2024/25_F4,COMP101_Summer_2024/25,COMP101,Exam Preparation,Instructor,2025-02-10,42,454,Pinned
