course_id,course_code,course_name,instructor,term,level,credits,department,max_students,enrolled_count,mode,start_date,end_date,description
COMP101_Semester_1_2024,COMP101,Introduction to Programming,Prof. Peter Williams,Semester 1 2024,1,12,IT,63,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Introduction to Programming.
COMP101_Semester_2_2024,COMP101,Introduction to Programming,Prof. James Chen,Semester 2 2024,1,12,IT,50,0,Blended,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Introduction to Programming.
COMP101_Summer_2024/25,COMP101,Introduction to Programming,Prof. Lisa Anderson,Summer 2024/25,1,12,IT,35,0,On-campus,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Introduction to Programming.
COMP201_Semester_1_2024,COMP201,Data Structures and Algorithms,Dr. David Kumar,Semester 1 2024,2,12,IT,48,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Data Structures and Algorithms.
COMP201_Semester_2_2024,COMP201,Data Structures and Algorithms,Dr. Mark Wilson,Semester 2 2024,2,12,IT,61,0,Online,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Data Structures and Algorithms.
COMP201_Summer_2024/25,COMP201,Data Structures and Algorithms,Dr. Rachel Thompson,Summer 2024/25,2,12,IT,95,0,On-campus,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Data Structures and Algorithms.
COMP301_Semester_1_2024,COMP301,Database Management Systems,Prof. Jennifer Davis,Semester 1 2024,3,12,IT,68,0,Online,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Database Management Systems.
COMP301_Semester_2_2024,COMP301,Database Management Systems,Dr. Emily Roberts,Semester 2 2024,3,12,IT,33,0,Online,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Database Management Systems.
COMP301_Summer_2024/25,COMP301,Database Management Systems,Prof. Peter Williams,Summer 2024/25,3,12,IT,100,0,On-campus,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Database Management Systems.
COMP401_Semester_1_2024,COMP401,Artificial Intelligence,Prof. James Chen,Semester 1 2024,4,12,IT,89,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Artificial Intelligence.
COMP401_Semester_2_2024,COMP401,Artificial Intelligence,Dr. Emily Roberts,Semester 2 2024,4,12,IT,45,0,On-campus,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Artificial Intelligence.
COMP401_Summer_2024/25,COMP401,Artificial Intelligence,Dr. Sarah Mitchell,Summer 2024/25,4,12,IT,58,0,On-campus,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Artificial Intelligence.
WEB201_Semester_1_2024,WEB201,Web Development,Dr. Michael Wong,Semester 1 2024,2,12,IT,81,0,Online,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Web Development.
WEB201_Semester_2_2024,WEB201,Web Development,Prof. Jennifer Davis,Semester 2 2024,2,12,IT,40,0,Blended,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Web Development.
WEB201_Summer_2024/25,WEB201,Web Development,Dr. Christopher Brown,Summer 2024/25,2,12,IT,63,0,On-campus,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Web Development.
NET301_Semester_1_2024,NET301,Computer Networks,Dr. Sarah Mitchell,Semester 1 2024,3,12,IT,38,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Computer Networks.
NET301_Semester_2_2024,NET301,Computer Networks,Prof. Jennifer Davis,Semester 2 2024,3,12,IT,86,0,On-campus,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Computer Networks.
NET301_Summer_2024/25,NET301,Computer Networks,Prof. James Chen,Summer 2024/25,3,12,IT,72,0,On-campus,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Computer Networks.
SEC401_Semester_1_2024,SEC401,Cybersecurity Fundamentals,Dr. Sarah Mitchell,Semester 1 2024,4,12,IT,89,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Cybersecurity Fundamentals.
SEC401_Semester_2_2024,SEC401,Cybersecurity Fundamentals,Dr. Emily Roberts,Semester 2 2024,4,12,IT,85,0,Blended,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Cybersecurity Fundamentals.
SEC401_Summer_2024/25,SEC401,Cybersecurity Fundamentals,Dr. Rachel Thompson,Summer 2024/25,4,12,IT,93,0,On-campus,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Cybersecurity Fundamentals.
DATA301_Semester_1_2024,DATA301,Data Science and Analytics,Dr. Rachel Thompson,Semester 1 2024,3,12,IT,84,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Data Science and Analytics.
DATA301_Semester_2_2024,DATA301,Data Science and Analytics,Dr. David Kumar,Semester 2 2024,3,12,IT,57,0,On-campus,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Data Science and Analytics.
DATA301_Summer_2024/25,DATA301,Data Science and Analytics,Prof. Lisa Anderson,Summer 2024/25,3,12,IT,65,0,Online,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Data Science and Analytics.
SOFT301_Semester_1_2024,SOFT301,Software Engineering,Dr. Emily Roberts,Semester 1 2024,3,12,IT,34,0,Blended,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Software Engineering.
SOFT301_Semester_2_2024,SOFT301,Software Engineering,Dr. Christopher Brown,Semester 2 2024,3,12,IT,61,0,Blended,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Software Engineering.
SOFT301_Summer_2024/25,SOFT301,Software Engineering,Prof. Lisa Anderson,Summer 2024/25,3,12,IT,93,0,Online,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Software Engineering.
CLOUD401_Semester_1_2024,CLOUD401,Cloud Computing,Dr. Amanda Lee,Semester 1 2024,4,12,IT,91,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Cloud Computing.
CLOUD401_Semester_2_2024,CLOUD401,Cloud Computing,Prof. James Chen,Semester 2 2024,4,12,IT,65,0,Online,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Cloud Computing.
CLOUD401_Summer_2024/25,CLOUD401,Cloud Computing,Dr. Emily Roberts,Summer 2024/25,4,12,IT,83,0,On-campus,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Cloud Computing.
BUS101_Semester_1_2024,BUS101,Introduction to Business,Prof. Jennifer Davis,Semester 1 2024,1,12,Business,97,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Introduction to Business.
BUS101_Semester_2_2024,BUS101,Introduction to Business,Prof. Jennifer Davis,Semester 2 2024,1,12,Business,99,0,On-campus,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Introduction to Business.
BUS101_Summer_2024/25,BUS101,Introduction to Business,Dr. Rachel Thompson,Summer 2024/25,1,12,Business,75,0,Online,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Introduction to Business.
ACC201_Semester_1_2024,ACC201,Financial Accounting,Dr. Amanda Lee,Semester 1 2024,2,12,Business,92,0,Online,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Financial Accounting.
ACC201_Semester_2_2024,ACC201,Financial Accounting,Dr. Christopher Brown,Semester 2 2024,2,12,Business,94,0,Online,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Financial Accounting.
ACC201_Summer_2024/25,ACC201,Financial Accounting,Dr. Rachel Thompson,Summer 2024/25,2,12,Business,64,0,On-campus,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Financial Accounting.
MKT201_Semester_1_2024,MKT201,Marketing Principles,Dr. Sarah Mitchell,Semester 1 2024,2,12,Business,70,0,Blended,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Marketing Principles.
MKT201_Semester_2_2024,MKT201,Marketing Principles,Dr. Michael Wong,Semester 2 2024,2,12,Business,33,0,Online,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Marketing Principles.
MKT201_Summer_2024/25,MKT201,Marketing Principles,Dr. Sarah Mitchell,Summer 2024/25,2,12,Business,90,0,Blended,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Marketing Principles.
MGT301_Semester_1_2024,MGT301,Strategic Management,Dr. David Kumar,Semester 1 2024,3,12,Business,59,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Strategic Management.
MGT301_Semester_2_2024,MGT301,Strategic Management,Prof. James Chen,Semester 2 2024,3,12,Business,61,0,Blended,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Strategic Management.
MGT301_Summer_2024/25,MGT301,Strategic Management,Dr. Michael Wong,Summer 2024/25,3,12,Business,64,0,Blended,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Strategic Management.
FIN301_Semester_1_2024,FIN301,Corporate Finance,Dr. Mark Wilson,Semester 1 2024,3,12,Business,37,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Corporate Finance.
FIN301_Semester_2_2024,FIN301,Corporate Finance,Dr. Christopher Brown,Semester 2 2024,3,12,Business,79,0,Online,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Corporate Finance.
FIN301_Summer_2024/25,FIN301,Corporate Finance,Dr. Emily Roberts,Summer 2024/25,3,12,Business,52,0,On-campus,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Corporate Finance.
MATH101_Semester_1_2024,MATH101,Mathematics for IT,Dr. Christopher Brown,Semester 1 2024,1,12,General,70,0,Blended,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Mathematics for IT.
MATH101_Semester_2_2024,MATH101,Mathematics for IT,Dr. Mark Wilson,Semester 2 2024,1,12,General,75,0,Blended,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Mathematics for IT.
MATH101_Summer_2024/25,MATH101,Mathematics for IT,Dr. Sarah Mitchell,Summer 2024/25,1,12,General,75,0,Blended,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Mathematics for IT.
STAT201_Semester_1_2024,STAT201,Statistics for Business,Dr. Christopher Brown,Semester 1 2024,2,12,General,48,0,Blended,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Statistics for Business.
STAT201_Semester_2_2024,STAT201,Statistics for Business,Dr. Michael Wong,Semester 2 2024,2,12,General,93,0,Blended,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Statistics for Business.
STAT201_Summer_2024/25,STAT201,Statistics for Business,Prof. Lisa Anderson,Summer 2024/25,2,12,General,52,0,Online,2024-12-02,2025-02-21,This course covers fundamental and advanced topics in Statistics for Business.
COMM101_Semester_1_2024,COMM101,Professional Communication,Dr. Sarah Mitchell,Semester 1 2024,1,12,General,41,0,On-campus,2024-02-26,2024-06-14,This course covers fundamental and advanced topics in Professional Communication.
COMM101_Semester_2_2024,COMM101,Professional Communication,Dr. Michael Wong,Semester 2 2024,1,12,General,58,0,On-campus,2024-07-15,2024-11-08,This course covers fundamental and advanced topics in Professional Communication.
