grade_id,student_id,course_id,assessment_id,assessment_type,marks_obtained,max_marks,percentage,submitted_date,graded_date,feedback
GRD00000001,KOI000001,MGT301_Semester_1_2024,MGT301_Semester_1_2024_A1,Assignment,98.1,100,50.3,2024-04-30 00:00:00,2024-05-11 00:00:00,Well researched and presented.
GRD00000002,KOI000001,MGT301_Semester_1_2024,MGT301_Semester_1_2024_A2,Assignment,29.9,30,93.1,2024-04-06 00:00:00,2024-04-19 00:00:00,Well researched and presented.
GRD00000003,KOI000001,MGT301_Semester_1_2024,MGT301_Semester_1_2024_A3,Assignment,28.3,30,76.9,2024-06-13 00:00:00,2024-06-21 00:00:00,Well researched and presented.
GRD00000004,KOI000001,MGT301_Semester_1_2024,MGT301_Semester_1_2024_A4,Assignment,21.2,40,90.6,2024-05-08 00:00:00,2024-05-14 00:00:00,Well researched and presented.
GRD00000005,KOI000001,MGT301_Semester_1_2024,MGT301_Semester_1_2024_A5,Assignment,30.2,40,82.5,2024-03-29 00:00:00,2024-04-14 00:00:00,Excellent work!
GRD00000006,KOI000001,MGT301_Semester_1_2024,MGT301_Semester_1_2024_Q1,Quiz,9.0,10,83.2,2024-03-26 00:00:00,2024-03-26 00:00:00,Auto-graded
GRD00000007,KOI000001,MGT301_Semester_1_2024,MGT301_Semester_1_2024_Q2,Quiz,26.7,30,74.7,2024-03-15 00:00:00,2024-03-15 00:00:00,Auto-graded
GRD00000008,KOI000001,WEB201_Semester_1_2024,WEB201_Semester_1_2024_A1,Assignment,14.3,25,62.2,2024-03-22 00:00:00,2024-03-29 00:00:00,Satisfactory. Consider improvement in...
GRD00000009,KOI000001,WEB201_Semester_1_2024,WEB201_Semester_1_2024_A3,Assignment,53.7,100,95.0,2024-03-13 00:00:00,2024-03-29 00:00:00,"Good effort, well done."
GRD00000010,KOI000001,WEB201_Semester_1_2024,WEB201_Semester_1_2024_A4,Assignment,67.1,100,84.5,2024-04-16 00:00:00,2024-05-01 00:00:00,Well researched and presented.
GRD00000011,KOI000001,WEB201_Semester_1_2024,WEB201_Semester_1_2024_A5,Assignment,23.5,30,79.7,2024-05-19 00:00:00,2024-05-23 00:00:00,Needs improvement in analysis.
