enrollment_id,student_id,course_id,course_code,term,enrollment_date,role,status,final_grade
ENR000001,KOI000001,MGT301_Semester_1_2024,MGT301,Semester 1 2024,2024-06-11,Student,Enrolled,95.9
ENR000002,KOI000001,WEB201_Semester_1_2024,WEB201,Semester 1 2024,2024-04-30,Student,Enrolled,
ENR000003,KOI000001,COMM101_Semester_1_2024,COMM101,Semester 1 2024,2024-04-29,Student,Enrolled,95.9
ENR000004,KOI000001,COMP301_Summer_2024/25,COMP301,Summer 2024/25,2025-01-22,Student,Enrolled,93.0
ENR000005,KOI000003,DATA301_Summer_2024/25,DATA301,Summer 2024/25,2024-12-17,Student,Completed,66.8
ENR000006,KOI000003,MATH101_Semester_1_2024,MATH101,Semester 1 2024,2024-06-05,Student,Enrolled,
ENR000007,KOI000003,FIN301_Semester_1_2024,FIN301,Semester 1 2024,2024-04-20,Student,Enrolled,71.8
ENR000008,KOI000004,BUS101_Semester_2_2024,BUS101,Semester 2 2024,2024-11-07,Student,Withdrawn,96.4
ENR000009,KOI000004,MGT301_Summer_2024/25,MGT301,Summer 2024/25,2025-02-15,Student,Enrolled,
ENR000010,KOI000004,SEC401_Summer_2024/25,SEC401,Summer 2024/25,2024-12-25,Student,Withdrawn,68.9
ENR000011,KOI000004,COMP401_Summer_2024/25,COMP401,Summer 2024/25,2024-12-23,Student,Enrolled,
ENR000012,KOI000004,MATH101_Semester_1_2024,MATH101,Semester 1 2024,2024-03-01,Student,Enrolled,97.4
ENR000013,KOI000005,STAT201_Semester_2_2024,STAT201,Semester 2 2024,2024-10-07,Student,Withdrawn,90.4
ENR000014,KOI000005,MKT201_Semester_1_2024,MKT201,Semester 1 2024,2024-05-29,Student,Withdrawn,
ENR000015,KOI000005,COMP101_Summer_2024/25,COMP101,Summer 2024/25,2024-12-28,Student,Withdrawn,
ENR000016,KOI000005,COMP401_Summer_2024/25,COMP401,Summer 2024/25,2025-01-02,Student,Completed,
ENR000017,KOI000006,COMP201_Semester_2_2024,COMP201,Semester 2 2024,2024-10-21,Student,Enrolled,83.5
ENR000018,KOI000006,NET301_Semester_1_2024,NET301,Semester 1 2024,2024-04-24,Student,Enrolled,63.3
ENR000019,KOI000006,DATA301_Semester_2_2024,DATA301,Semester 2 2024,2024-10-19,Student,Enrolled,67.5
ENR000020,KOI000006,SEC401_Summer_2024/25,SEC401,Summer 2024/25,2025-02-10,Student,Enrolled,52.4
ENR000021,KOI000006,COMP401_Semester_2_2024,COMP401,Semester 2 2024,2024-10-01,Student,Completed,98.5
ENR000022,KOI000009,BUS101_Semester_2_2024,BUS101,Semester 2 2024,2024-07-24,Student,Completed,
ENR000023,KOI000009,SOFT301_Semester_1_2024,SOFT301,Semester 1 2024,2024-04-24,Student,Completed,78.9
ENR000024,KOI000009,DATA301_Semester_2_2024,DATA301,Semester 2 2024,2024-09-03,Student,Enrolled,
ENR000025,KOI000009,ACC201_Semester_2_2024,ACC201,Semester 2 2024,2024-08-04,Student,Enrolled,51.7
ENR000026,KOI000010,SEC401_Summer_2024/25,SEC401,Summer 2024/25,2025-02-20,Student,Enrolled,94.4
ENR000027,KOI000010,NET301_Semester_2_2024,NET301,Semester 2 2024,2024-08-12,Student,Enrolled,77.4
ENR000028,KOI000010,COMP301_Semester_1_2024,COMP301,Semester 1 2024,2024-06-12,Student,Enrolled,99.3
ENR000029,KOI000012,MATH101_Semester_1_2024,MATH101,Semester 1 2024,2024-04-09,Student,Enrolled,71.7
ENR000030,KOI000012,COMP101_Semester_2_2024,COMP101,Semester 2 2024,2024-08-26,Student,Enrolled,
ENR000031,KOI000012,CLOUD401_Semester_1_2024,CLOUD401,Semester 1 2024,2024-04-14,Student,Enrolled,70.5
ENR000032,KOI000012,MGT301_Summer_2024/25,MGT301,Summer 2024/25,2025-01-16,Student,Withdrawn,86.5
ENR000033,KOI000013,FIN301_Semester_1_2024,FIN301,Semester 1 2024,2024-03-26,Student,Enrolled,
ENR000034,KOI000013,SEC401_Semester_1_2024,SEC401,Semester 1 2024,2024-03-16,Student,Withdrawn,74.5
ENR000035,KOI000013,SEC401_Semester_2_2024,SEC401,Semester 2 2024,2024-10-28,Student,Enrolled,71.4
ENR000036,KOI000013,NET301_Semester_1_2024,NET301,Semester 1 2024,2024-06-03,Student,Enrolled,81.3
ENR000037,KOI000014,WEB201_Semester_1_2024,WEB201,Semester 1 2024,2024-05-06,Student,Enrolled,98.9
ENR000038,KOI000014,COMP301_Semester_1_2024,COMP301,Semester 1 2024,2024-05-16,Student,Completed,65.4
ENR000039,KOI000014,COMP101_Semester_2_2024,COMP101,Semester 2 2024,2024-09-30,Student,Completed,94.7
ENR000040,KOI000014,WEB201_Semester_2_2024,WEB201,Semester 2 2024,2024-10-04,Student,Enrolled,
ENR000041,KOI000015,SOFT301_Semester_1_2024,SOFT301,Semester 1 2024,2024-04-30,Student,Enrolled,63.2
