query_id,student_id,query_text,intent,timestamp,status,priority
Q000001,KOI000013,When is Assignment 2 due for COMP101?,assignment_deadline,2025-11-27 10:44:17,Resolved,Low
Q000002,KOI000474,When is Assignment 2 due for COMP101?,assignment_deadline,2025-11-27 10:43:58,Pending,Medium
Q000003,KOI000487,When is Assignment 2 due for COMP101?,assignment_deadline,2025-11-27 10:42:07,Resolved,High
Q000004,KOI000468,When is Assignment 2 due for COMP101?,assignment_deadline,2025-11-27 10:43:43,Resolved,Medium
Q000005,KOI000391,What's the deadline for the programming assignment?,assignment_deadline,2025-11-27 10:44:40,Resolved,Low
Q000006,KOI000098,What's the deadline for the programming assignment?,assignment_deadline,2025-11-27 10:47:25,Pending,Low
Q000007,KOI000473,What's the deadline for the programming assignment?,assignment_deadline,2025-11-27 10:47:23,Resolved,Medium
Q000008,KOI000047,What's the deadline for the programming assignment?,assignment_deadline,2025-11-27 10:43:05,Resolved,High
Q000009,KOI000117,What's the deadline for the programming assignment?,assignment_deadline,2025-11-27 10:47:49,Resolved,High
Q000010,KOI000385,What's the deadline for the programming assignment?,assignment_deadline,2025-11-27 10:46:26,Resolved,Low
Q000011,KOI000212,Can you tell me when I need to submit my essay?,assignment_deadline,2025-11-27 10:46:59,Resolved,Low
Q000012,KOI000045,Can you tell me when I need to submit my essay?,assignment_deadline,2025-11-27 10:42:42,Resolved,Medium
Q000013,KOI000453,Can you tell me when I need to submit my essay?,assignment_deadline,2025-11-27 10:43:01,Pending,Low
Q000014,KOI000304,Can you tell me when I need to submit my essay?,assignment_deadline,2025-11-27 10:46:10,Resolved,Low
Q000015,KOI000494,Is there an extension for Assignment 3?,assignment_deadline,2025-11-27 10:47:10,Resolved,High
Q000016,KOI000292,Is there an extension for Assignment 3?,assignment_deadline,2025-11-27 10:46:11,Resolved,Low
Q000017,KOI000039,Is there an extension for Assignment 3?,assignment_deadline,2025-11-27 10:43:28,Resolved,Medium
Q000018,KOI000328,Is there an extension for Assignment 3?,assignment_deadline,2025-11-27 10:42:28,Resolved,Low
Q000019,KOI000440,Is there an extension for Assignment 3?,assignment_deadline,2025-11-27 10:43:45,Resolved,Medium
Q000020,KOI000255,Is there an extension for Assignment 3?,assignment_deadline,2025-11-27 10:46:31,Resolved,Low
Q000021,KOI000206,Is there an extension for Assignment 3?,assignment_deadline,2025-11-27 10:48:04,Resolved,Medium
Q000022,KOI000452,Is there an extension for Assignment 3?,assignment_deadline,2025-11-27 10:44:54,Pending,Medium
Q000023,KOI000383,What's my current grade in Data Structures?,grade_inquiry,2025-11-27 10:47:01,Resolved,Medium
Q000024,KOI000087,What's my current grade in Data Structures?,grade_inquiry,2025-11-27 10:44:04,Pending,High
Q000025,KOI000387,What's my current grade in Data Structures?,grade_inquiry,2025-11-27 10:44:21,Pending,Low
Q000026,KOI000452,Have the quiz results been released?,grade_inquiry,2025-11-27 10:42:23,Resolved,High
Q000027,KOI000111,Have the quiz results been released?,grade_inquiry,2025-11-27 10:42:48,Resolved,High
Q000028,KOI000338,Have the quiz results been released?,grade_inquiry,2025-11-27 10:45:10,Resolved,High
Q000029,KOI000096,Have the quiz results been released?,grade_inquiry,2025-11-27 10:43:51,Resolved,High
Q000030,KOI000109,Why did I get this mark on my assignment?,grade_inquiry,2025-11-27 10:45:25,Resolved,High
Q000031,KOI000435,Why did I get this mark on my assignment?,grade_inquiry,2025-11-27 10:44:41,Resolved,Medium
Q000032,KOI000499,Why did I get this mark on my assignment?,grade_inquiry,2025-11-27 10:42:49,Resolved,Medium
Q000033,KOI000162,Why did I get this mark on my assignment?,grade_inquiry,2025-11-27 10:44:50,Pending,High
Q000034,KOI000114,Why did I get this mark on my assignment?,grade_inquiry,2025-11-27 10:44:34,Resolved,Low
Q000035,KOI000062,Why did I get this mark on my assignment?,grade_inquiry,2025-11-27 10:45:56,Resolved,Low
Q000036,KOI000350,Why did I get this mark on my assignment?,grade_inquiry,2025-11-27 10:42:59,Resolved,Medium
Q000037,KOI000489,Can I see the marking rubric?,grade_inquiry,2025-11-27 10:44:51,Resolved,Medium
Q000038,KOI000046,Can I see the marking rubric?,grade_inquiry,2025-11-27 10:44:51,Pending,Low
Q000039,KOI000476,Can I see the marking rubric?,grade_inquiry,2025-11-27 10:43:47,Resolved,Medium
Q000040,KOI000021,Where can I find lecture slides for Week 5?,course_content,2025-11-27 10:42:58,Pending,Medium
Q000041,KOI000134,Where can I find lecture slides for Week 5?,course_content,2025-11-27 10:43:54,Resolved,High
Q000042,KOI000105,Where can I find lecture slides for Week 5?,course_content,2025-11-27 10:43:32,Resolved,Medium
Q000043,KOI000456,Where can I find lecture slides for Week 5?,course_content,2025-11-27 10:45:11,Resolved,Low
Q000044,KOI000055,Where can I find lecture slides for Week 5?,course_content,2025-11-27 10:47:21,Resolved,Low
Q000045,KOI000255,What topics are covered in the final exam?,course_content,2025-11-27 10:43:53,Resolved,Low
Q000046,KOI000334,What topics are covered in the final exam?,course_content,2025-11-27 10:45:38,Resolved,High
Q000047,KOI000059,What topics are covered in the final exam?,course_content,2025-11-27 10:46:07,Resolved,Low
Q000048,KOI000444,What topics are covered in the final exam?,course_content,2025-11-27 10:46:32,Resolved,High
Q000049,KOI000065,Are there any additional resources for this course?,course_content,2025-11-27 10:42:53,Resolved,High
Q000050,KOI000322,Are there any additional resources for this course?,course_content,2025-11-27 10:44:05,Resolved,Low
Q000051,KOI000421,Are there any additional resources for this course?,course_content,2025-11-27 10:45:42,Resolved,Medium
Q000052,KOI000086,Are there any additional resources for this course?,course_content,2025-11-27 10:45:53,Resolved,Low
Q000053,KOI000374,Are there any additional resources for this course?,course_content,2025-11-27 10:44:46,Resolved,Low
Q000054,KOI000485,Can you explain the assessment criteria?,course_content,2025-11-27 10:42:27,Resolved,High
Q000055,KOI000161,Can you explain the assessment criteria?,course_content,2025-11-27 10:42:12,Resolved,Low
Q000056,KOI000199,Can you explain the assessment criteria?,course_content,2025-11-27 10:47:21,Resolved,Medium
