assignment_id,course_id,course_code,title,assignment_type,description,max_marks,weight,due_date,submission_type,allow_late,late_penalty
COMP101_Semester_1_2024_A1,COMP101_Semester_1_2024,COMP101,Assignment 1: Lab Exercise,Programming Assignment,Complete the group project as per course requirements.,100,20,2024-04-30 00:00:00,Online text,True,20
COMP101_Semester_1_2024_A2,COMP101_Semester_1_2024,COMP101,Assignment 2: Case Study,Presentation,Complete the tutorial exercise as per course requirements.,20,20,2024-03-23 00:00:00,Online text,True,20
COMP101_Semester_1_2024_A3,COMP101_Semester_1_2024,COMP101,Assignment 3: Research Paper,Report,Complete the case study as per course requirements.,25,15,2024-06-08 00:00:00,Both,True,5
COMP101_Semester_1_2024_A4,COMP101_Semester_1_2024,COMP101,Assignment 4: Tutorial Exercise,Programming Assignment,Complete the case study as per course requirements.,40,25,2024-04-26 00:00:00,Both,True,5
COMP101_Semester_1_2024_A5,COMP101_Semester_1_2024,COMP101,Assignment 5: Research Paper,Case Study,Complete the essay as per course requirements.,20,30,2024-04-25 00:00:00,Both,False,10
COMP101_Semester_2_2024_A1,COMP101_Semester_2_2024,COMP101,Assignment 1: Essay,Programming Assignment,Complete the project as per course requirements.,40,25,2024-08-29 00:00:00,Online text,True,20
COMP101_Semester_2_2024_A2,COMP101_Semester_2_2024,COMP101,Assignment 2: Programming Assignment,Research Paper,Complete the lab exercise as per course requirements.,30,25,2024-11-05 00:00:00,Online text,True,0
COMP101_Semester_2_2024_A3,COMP101_Semester_2_2024,COMP101,Assignment 3: Programming Assignment,Research Paper,Complete the group project as per course requirements.,25,10,2024-08-08 00:00:00,Both,False,0
COMP101_Semester_2_2024_A4,COMP101_Semester_2_2024,COMP101,Assignment 4: Programming Assignment,Tutorial Exercise,Complete the case study as per course requirements.,40,25,2024-11-01 00:00:00,Both,False,0
COMP101_Semester_2_2024_A5,COMP101_Semester_2_2024,COMP101,Assignment 5: Programming Assignment,Presentation,Complete the programming assignment as per course requirements.,100,30,2024-08-14 00:00:00,File upload,False,5
COMP101_Semester_2_2024_A6,COMP101_Semester_2_2024,COMP101,Assignment 6: Group Project,Group Project,Complete the group project as per course requirements.,40,10,2024-09-17 00:00:00,Both,True,10
COMP101_Summer_2024/25_A1,COMP101_Summer_2024/25,COMP101,Assignment 1: Tutorial Exercise,Case Study,Complete the essay as per course requirements.,50,25,2025-01-08 00:00:00,Online text,True,0
COMP101_Summer_2024/25_A2,COMP101_Summer_2024/25,COMP101,Assignment 2: Case Study,Programming Assignment,Complete the group project as per course requirements.,30,10,2025-01-11 00:00:00,File upload,True,15
COMP101_Summer_2024/25_A3,COMP101_Summer_2024/25,COMP101,Assignment 3: Lab Exercise,Essay,Complete the project as per course requirements.,30,10,2025-01-06 00:00:00,Both,False,20
COMP201_Semester_1_2024_A1,COMP201_Semester_1_2024,COMP201,Assignment 1: Research Paper,Presentation,Complete the group project as per course requirements.,30,30,2024-05-23 00:00:00,Both,True,5
COMP201_Semester_1_2024_A2,COMP201_Semester_1_2024,COMP201,Assignment 2: Essay,Project,Complete the case study as per course requirements.,30,15,2024-04-10 00:00:00,File upload,True,15
COMP201_Semester_1_2024_A3,COMP201_Semester_1_2024,COMP201,Assignment 3: Tutorial Exercise,Lab Exercise,Complete the programming assignment as per course requirements.,50,20,2024-03-27 00:00:00,Online text,False,10
COMP201_Semester_1_2024_A4,COMP201_Semester_1_2024,COMP201,Assignment 4: Research Paper,Programming Assignment,Complete the report as per course requirements.,100,25,2024-05-01 00:00:00,Both,True,5
COMP201_Semester_2_2024_A1,COMP201_Semester_2_2024,COMP201,Assignment 1: Project,Presentation,Complete the tutorial exercise as per course requirements.,100,30,2024-10-18 00:00:00,Both,True,0
COMP201_Semester_2_2024_A2,COMP201_Semester_2_2024,COMP201,Assignment 2: Presentation,Lab Exercise,Complete the lab exercise as per course requirements.,20,30,2024-08-17 00:00:00,File upload,True,0
COMP201_Semester_2_2024_A3,COMP201_Semester_2_2024,COMP201,Assignment 3: Programming Assignment,Group Project,Complete the lab exercise as per course requirements.,20,20,2024-10-05 00:00:00,Both,True,0
COMP201_Semester_2_2024_A4,COMP201_Semester_2_2024,COMP201,Assignment 4: Report,Case Study,Complete the project as per course requirements.,30,10,2024-09-09 00:00:00,File upload,False,10
COMP201_Semester_2_2024_A5,COMP201_Semester_2_2024,COMP201,Assignment 5: Programming Assignment,Programming Assignment,Complete the case study as per course requirements.,50,20,2024-09-15 00:00:00,Both,False,0
COMP201_Summer_2024/25_A1,COMP201_Summer_2024/25,COMP201,Assignment 1: Group Project,Report,Complete the tutorial exercise as per course requirements.,20,10,2025-01-21 00:00:00,File upload,False,20
COMP201_Summer_2024/25_A2,COMP201_Summer_2024/25,COMP201,Assignment 2: Presentation,Group Project,Complete the group project as per course requirements.,50,25,2025-01-08 00:00:00,Online text,True,0
COMP201_Summer_2024/25_A3,COMP201_Summer_2024/25,COMP201,Assignment 3: Case Study,Case Study,Complete the case study as per course requirements.,40,30,2025-02-19 00:00:00,Both,False,0
COMP201_Summer_2024/25_A4,COMP201_Summer_2024/25,COMP201,Assignment 4: Project,Tutorial Exercise,Complete the lab exercise as per course requirements.,100,25,2025-02-01 00:00:00,File upload,False,20
COMP201_Summer_2024/25_A5,COMP201_Summer_2024/25,COMP201,Assignment 5: Report,Report,Complete the lab exercise as per course requirements.,50,15,2025-02-18 00:00:00,Online text,True,20
COMP301_Semester_1_2024_A1,COMP301_Semester_1_2024,COMP301,Assignment 1: Programming Assignment,Programming Assignment,Complete the project as per course requirements.,20,15,2024-03-22 00:00:00,Both,True,0
COMP301_Semester_1_2024_A2,COMP301_Semester_1_2024,COMP301,Assignment 2: Group Project,Research Paper,Complete the essay as per course requirements.,40,30,2024-04-16 00:00:00,Both,True,0
COMP301_Semester_1_2024_A3,COMP301_Semester_1_2024,COMP301,Assignment 3: Group Project,Programming Assignment,Complete the lab exercise as per course requirements.,20,30,2024-05-15 00:00:00,File upload,True,15
COMP301_Semester_1_2024_A4,COMP301_Semester_1_2024,COMP301,Assignment 4: Group Project,Tutorial Exercise,Complete the essay as per course requirements.,50,25,2024-04-11 00:00:00,File upload,True,0
